id	gcf	scf	bs	edge_len	gn	sn
1012	2.82	44.3	1	0.009572314	1134	7980.19
1013	2.91	39.48	1	0.010394419	1134	8314.54
1014	1.52	44.21	1	0.009800663	1186	8292.27
1015	2.38	46.21	1	0.008192436	1177	7261.38
1016	2.89	37.84	1	0.006904975	1142	7073.43
1017	4.2	50.39	1	0.007935268	1143	7441.27
1018	0.17	34.28	1	0.007477502	1154	6599.84
1019	9.14	43.37	1	0.007051514	1105	6813.62
1020	0.52	37.92	1	0.005445045	1153	6776.07
1021	10.15	53.03	1	0.007204894	1162	6984.1
1022	52.27	83.03	1	0.005460181	1144	7143.7
1023	7.19	32.45	0.996	0.001585174	1141	2668.22
1024	1.83	35.6	1	0.001689712	1149	2559.31
1025	25.07	65.85	1	0.001402648	1145	2436.54
1026	3.33	31.13	1	0.000619132	1142	2564.05
1027	23.27	69.4	1	0.001651885	1139	2588.91
1028	13.69	39.79	1	0.000672344	1132	2669.08
1029	7.3	43.81	1	0.001220536	1137	2679.78
1030	16.96	54.53	1	0.001330402	1132	2246.73
1031	11.49	47.6	1	0.000738123	1149	6410.98
1032	4.98	37.3	0.409	0.00436455	1144	5828.02
1033	17.13	42.74	1	0.00386514	1127	5389.2
1034	12.42	32.52	0.973	0.002750179	1135	5691.9
1035	0.78	37.43	1	0.003448972	1155	6636.9
1036	4.55	48.22	1	0.006609371	1143	6727.04
1037	2.85	34.31	0.431	0.005494578	1122	6438.49
1038	5.23	33.59	0.866	0.004804027	1109	6207.78
1039	21.69	48.73	1	0.005055182	1111	6577.34
1040	26.83	51.01	1	0.003691845	1122	6556.45
1041	3.02	37.47	1	0.003570545	1127	6477.57
1042	15.18	49.15	1	0.005851983	1120	6653.82
1043	27.83	44.02	1	0.00453036	1121	6241.97
1044	0.09	35.31	0.771	0.003664562	1153	6700.86
1045	24.06	53.76	1	0.006986917	1118	7101.34
1046	0	38.83	1	0.004821486	1148	6456.68
1047	17.63	49.18	1	0.006339554	1123	6581.02
1048	0	33.93	0	0.004487136	1154	6211.22
1049	0.26	37.71	1	0.006962585	1155	6340.53
1050	13.56	52.32	1	0.006363421	1106	6352.12
1051	22.37	41.3	1	0.004577744	1095	5986.81
1052	0	35.62	0.91	0.003461265	1140	6351.18
1053	3.51	34.43	1	0.005931731	1111	6243.13
1054	0.09	37.95	1	0.00501909	1142	6041.48
1055	0.53	35.82	1	0.006056251	1138	5948.17
1056	6.55	37.21	1	0.005604406	1099	6119.87
1057	7.24	34.6	1	0.00457865	1077	6115.91
1058	0	33.81	0.995	0.004671753	1158	5604.18
1059	1.42	35.72	1	0.00613613	847	4676.41
1060	7.6	35.7	0.999	0.005796106	803	4547.69
1061	0.61	33.82	0.987	0.004908636	1147	5745.33
1062	6.18	39.8	1	0.005749617	1116	6297.82
1063	30.24	58.83	1	0.004644685	1131	6922.08
1064	0.43	39.3	1	0.003455992	1158	6256.22
1065	12.54	47.11	1	0.006646166	1132	6300.74
1066	37.98	54.6	1	0.005254737	1111	6502.85
1067	0.61	44.64	1	0.003287413	1155	6321.57
1068	0.43	34.03	0.934	0.005709807	1153	5995.8
1069	3	36.38	1	0.005405261	1134	5990.27
