sample	data_type	target_file
E_decipiens_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_decorticans	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_deflexa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_delicata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dendromorpha	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_densa_densa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_desmondensis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_desmondensis_x_E_occidentalis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_deuaensis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dielsii_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dielsii_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_diminuta_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_diminuta_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_diminuta_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_diminuta_4	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_diminuta_5	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_diptera	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_discreta	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dissimulata_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dissimulata_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_diversifolia_diversifolia	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_diversifolia_hesperia	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dolichocera	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dolichorhyncha	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dorrigoensis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dorrigoensis_x_E_xsaligna	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_drepanophylla_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_drepanophylla_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_drepanophylla_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
