file	sum_len	cov
E_celastroides_virella_1	19825524762	39.651049524
E_phenax_phenax	19838572832	39.677145664
E_spectatrix	19855625438	39.711250876
E_gamophylla	19865437224	39.730874448
E_uncinata_uncinata_1	19870185184	39.740370368
E_educta_2	19887272866	39.774545732
E_preissiana_lobata_2	19892905718	39.785811436
E_brandiana	19893173884	39.786347768
E_diminuta_2	19893471482	39.786942964
A_leiocarpa_1	19897560772	39.795121544
E_macrocarpa_elachantha	19903073248	39.806146496
E_camaldulensis_arida_5	19909982074	39.819964148
E_pimpiniana	19916386838	39.832773676
E_codonocarpa_1	19920962680	39.84192536
E_cordata_quadrangulosa_1	19923642934	39.847285868
E_diminuta_4	19939771756	39.879543512
C_maculata	19964583298	39.929166596
E_arachnaea_x_E_pluricaulis_intergrade_1	19977295042	39.954590084
E_dumosa	20005946860	40.01189372
E_cyclostoma	20046257734	40.092515468
C_arnhemensis	20066903416	40.133806832
E_steedmanii	20067301522	40.134603044
E_leucophylla_1	20088211264	40.176422528
E_preissiana_lobata_3	20107898682	40.215797364
E_crucis_lanceolata_3	20172378050	40.3447561
E_socialis_viridans	20180938158	40.361876316
E_flindersii_1	20184207574	40.368415148
E_rigidula_11	20224007684	40.448015368
E_foliosa	20226498318	40.452996636
E_sp_Kalbarri_2	20237828054	40.475656108
E_sp_Mulga_Rock_4	20242276214	40.484552428
E_occidentalis	20242328770	40.48465754
E_oligantha_5	20250915684	40.501831368
E_socialis_victoriensis_2	20304127564	40.608255128
E_rubiginosa	20315309306	40.630618612
E_expressa	20316228672	40.632457344
E_leptophylla_3	20332998840	40.66599768
E_albopurpurea_4	20349860324	40.699720648
E_petrensis	20383867278	40.767734556
E_brevipes_1	20387034748	40.774069496
E_perriniana_2	20395942684	40.791885368
E_grisea	20424390534	40.848781068
E_populnea_bimbil	20437766788	40.875533576
E_astringens_redacta_3	20452112542	40.904225084
E_caleyi_caleyi_x_ovendenii_intergrade	20489836220	40.97967244
E_lucasii_2	20504498560	41.00899712
E_opimiflora	20543571594	41.087143188
E_baudiniana_x_E_oraria_intergrade_1	20556273914	41.112547828
E_guilfoylei_1	20589538866	41.179077732
E_diminuta_5	20610687710	41.22137542
E_aequioperta_x_E_sheathiana	20636323084	41.272646168
E_neutra_2	20640194444	41.280388888
E_grasbyi_3	20645096696	41.290193392
E_phenax_compressa	20666270204	41.332540408
E_captiosa	20667164258	41.334328516
E_tenuis	20695378532	41.390757064
E_glaucina_2	20731967236	41.463934472
E_flavida	20761906420	41.52381284
E_drepanophylla_2	20767628072	41.535256144
E_sp_Cable_Haul_Road_2	20789928882	41.579857764
E_beardiana_1	20811843248	41.623686496
E_relicta	20843172726	41.686345452
E_deflexa	20843944184	41.687888368
E_sp_Lake_Magenta_1	20891793374	41.783586748
E_leptopoda_leptopoda	20920705870	41.84141174
E_campaspe	20932059624	41.864119248
E_amygdalina_1	20933418694	41.866837388
E_botryoides	20956880012	41.913760024
E_trivalva_2	20968557002	41.937114004
E_capillosa_1	21003494136	42.006988272
E_angulosa_2	21037820442	42.075640884
E_stowardii_2	21042223600	42.0844472
E_planipes_2	21060450012	42.120900024
E_kruseana_2	21129704104	42.259408208
E_pyrocarpa	21234422118	42.468844236
E_loxophleba_gratiae	21249859346	42.499718692
E_baxteri_2	21253808010	42.50761602
E_subangusta_cerina	21321270518	42.642541036
E_tortilis	21333507364	42.667014728
E_sabulosa_x_E_ovata_ovata	21391536548	42.783073096
E_victrix_1	21400826730	42.80165346
E_xerothermica_3	21405871692	42.811743384
E_rigidula_7	21414818802	42.829637604
E_georgei_fulgida	21447502004	42.895004008
E_woodwardii_1	21469711702	42.939423404
E_canescens_beadellii	21510514754	43.021029508
E_angustissima	21545402414	43.090804828
E_drepanophylla_1	21555752400	43.1115048
E_jacksonii_2	21558580584	43.117161168
E_x_impensa	21560028842	43.120057684
E_leptophylla_2	21574064008	43.148128016
E_incrassata_3	21577538388	43.155076776
E_sp_Kitchener_2	21598779746	43.197559492
E_revelata_ms	21607944132	43.215888264
E_sp_Kitchener_1	21619785462	43.239570924
E_kessellii_eugnosta_2	21627739790	43.25547958
E_sargentii_sargentii_1	21637016984	43.274033968
E_rigidula_6	21658473652	43.316947304
E_petiolaris_2	21667473688	43.334947376
E_rigidula_13	21672802116	43.345604232
E_behriana	21709753066	43.419506132
E_xanthonema_xanthonema	21725253894	43.450507788
E_sp_Dartmoor_1	21728990366	43.457980732
E_platypus_platypus_1	21744667628	43.489335256
E_hebetifolia	21796316414	43.592632828
E_peninsularis_3	21798812188	43.597624376
E_deanei	21922386660	43.84477332
E_aspratilis_2	21925746432	43.851492864
E_ebbanoensis_photina	21926840826	43.853681652
E_desmondensis_x_E_occidentalis	21935138404	43.870276808
E_kessellii_eugnosta_1	21941726060	43.88345212
E_educta_3	21981452168	43.962904336
E_viminalis_hentyensis_1	21986929686	43.973859372
E_alatissima_1	22034401462	44.068802924
E_xanthonema_apposita	22052021736	44.104043472
E_decipiens_2	22101796590	44.20359318
E_rigens	22107919368	44.215838736
C_rhodops	22118392570	44.23678514
E_cylindrocarpa_1	22137823940	44.27564788
E_cooperiana_3	22147474272	44.294948544
C_variegata	22150533650	44.3010673
E_sp_Great_Victoria_Desert_2	22155439232	44.310878464
E_rigidula_12	22158687170	44.31737434
E_rigidula_2	22176219082	44.352438164
E_spathulata_spathulata	22184029312	44.368058624
E_perriniana_1	22320860776	44.641721552
E_jacksonii_1	22322842486	44.645684972
C_scabrida	22323240954	44.646481908
E_confluens	22360162776	44.720325552
E_rubida_canobolensis	22391475748	44.782951496
E_tephroclada	22414343596	44.828687192
E_sp_Lake_Magenta_2	22427509072	44.855018144
E_aridomontana_1	22438643756	44.877287512
E_peninsularis_2	22438927798	44.877855596
E_ornata	22458147872	44.916295744
E_leptopoda_arctata_3	22472283110	44.94456622
E_polybractea_1	22515053326	45.030106652
E_horistes_Southern_smooth_1	22523295562	45.046591124
C_polycarpa_1	22552820050	45.1056401
E_sp_Sullivan_Soak_3	22561337764	45.122675528
E_petraea_2	22574743326	45.149486652
E_longirostrata	22592525780	45.18505156
E_punctata_1	22594246766	45.188493532
E_camaldulensis_arida_4	22703550942	45.407101884
E_sideroxylon	22714682766	45.429365532
E_x_hawkeri_2	22721172260	45.44234452
E_merrickiae	22785352022	45.570704044
E_cladocalyx_crassa	22789474212	45.578948424
C_tessellaris_2	22862755628	45.725511256
E_melanophloia	22912056944	45.824113888
E_tricarpa	22917955670	45.83591134
E_patens	22965796722	45.931593444
E_websteriana_4	23003646454	46.007292908
E_cerasiformis	23036000456	46.072000912
E_oraria_1	23109303558	46.218607116
E_ovata_ovata_2	23173177084	46.346354168
E_leptopoda_x_E_oldfieldii_intergrade	23183776072	46.367552144
E_annulata	23186688956	46.373377912
E_neutra_1	23191091136	46.382182272
E_sp_Dartmoor_2	23191175368	46.382350736
E_caesia_magna_3	23205204786	46.410409572
E_utilis_3	23219431436	46.438862872
A_leiocarpa_2	23233030604	46.466061208
E_flindersii_2	23256454022	46.512908044
E_wandoo_pulverea_1	23276993640	46.55398728
E_uncinata_Esperance_Plains_2	23287684626	46.575369252
E_celastroides_virella_2	23309522680	46.61904536
E_websteriana_3	23323309292	46.646618584
E_rigidula_5	23402036180	46.80407236
E_megacarpa_1	23403292506	46.806585012
E_insulana	23417594524	46.835189048
E_baudiniana_2	23444050046	46.888100092
E_sp_Southern_wheatbelt_2	23456731968	46.913463936
C_setosa_setosa	23505328090	47.01065618
E_lucasii_1	23536811978	47.073623956
E_camaldulensis_arida_2	23538236316	47.076472632
E_flocktoniae_flocktoniae_1	23560083244	47.120166488
E_tenera_2	23581297826	47.162595652
E_yilgarnensis_1	23649038154	47.298076308
E_petiolaris_1	23655914720	47.31182944
E_glomerosa_2	23664379344	47.328758688
E_behriana_x_E_largiflorens	23678500708	47.357001416
E_ecostata_2	23694035592	47.388071184
E_apothalassica	23731982464	47.463964928
E_petraea_3	23755396474	47.510792948
E_capillosa_4	23764812972	47.529625944
E_diptera	23852203930	47.70440786
E_rigidula_1	23886713108	47.773426216
E_lockyeri_1	23896712236	47.793424472
E_misella	23898055252	47.796110504
E_morrisbyi_1	23923935784	47.847871568
E_caesia_magna_2	24096433340	48.19286668
E_effusa_effusa	24164104586	48.328209172
E_dalrympleana_heptantha_2	24206663930	48.41332786
E_x_redimulicifera	24217229598	48.434459196
E_uncinata_Esperance_Plains_1	24228319124	48.456638248
E_salmonophloia	24297034626	48.594069252
E_uncinata_uncinata_2	24354615108	48.709230216
E_pulverulenta	24412925280	48.82585056
E_leucoxylon_megalocarpa_3	24419524684	48.839049368
E_caesia_magna_5	24471770274	48.943540548
E_sweedmaniana	24496862218	48.993724436
E_x_alpina_2	24506813748	49.013627496
E_calycogona_calycogona_2	24516525586	49.033051172
E_sheathiana_3	24601279196	49.202558392
E_wandoo_pulverea_2	24617785622	49.235571244
