sequencing_id	project_id	folder_name	sample_id	species_name	genus	subgenus	section	series	subseries	species	subspecies	tip_label
1456801	1455462	Euckessequencing_5_FD	CCA0130	Eucalyptus kessellii subsp. eugnosta	Eucalyptus	Symphyomyrtus	Bisectae	Falcatae	Rugatae	kessellii	eugnosta	E_kessellii_eugnosta_2
1456959	1455778	Euckinsequencing_3_FD	CCA0520	Eucalyptus kingsmillii	Eucalyptus	Symphyomyrtus	Bisectae	Curviptera	Xylocarpae	kingsmillii		E_kingsmillii_1
1456621	1455102	Euckinsequencing_4_FD	CCA5803	Eucalyptus kingsmillii	Eucalyptus	Symphyomyrtus	Bisectae	Curviptera	Xylocarpae	kingsmillii		E_kingsmillii_2
1457251	1456362	EucNAsequencing_22_FD	CCA2851	Eucalyptus kitsoniana x E. ovata subp. grandiflora								E_kitsoniana_x_E_ovata_subp_grandiflora
1456968	1455796	Euckocsequencing_7_FD	CCA0546	Eucalyptus kochii subsp. amaryssia	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Oleaginae	kochii	amaryssia	E_kochii_amaryssia
1456854	1455568	Euckocsequencing_5_FD	CCA0263	Eucalyptus kochii subsp. borealis	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Oleaginae	kochii	borealis	E_kochii_borealis
1456861	1455582	Euckocsequencing_6_FD	CCA0279	Eucalyptus kochii subsp. kochii	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Oleaginae	kochii	kochii	E_kochii_kochii
1456905	1455670	Euckonsequencing_2_FD	CCA0420	Eucalyptus kondininensis	Eucalyptus	Symphyomyrtus	Dumaria	Rufispermae		kondininensis		E_kondininensis
1457010	1455880	Euckrusequencing_4_FD	CCA0656	Eucalyptus kruseana	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Kruseanae		kruseana		E_kruseana_1
1456729	1455318	Euckrusequencing_5_FD	CCA6038	Eucalyptus kruseana	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Kruseanae		kruseana		E_kruseana_2
1456781	1455422	Euckumsequencing_3_FD	CCA0081	Eucalyptus kumarlensis	Eucalyptus	Symphyomyrtus	Bisectae	Porantherae		kumarlensis		E_kumarlensis_1
1457255	1456370	Euckumsequencing_2_FD	CCA2861	Eucalyptus kumarlensis	Eucalyptus	Symphyomyrtus	Bisectae	Porantherae		kumarlensis		E_kumarlensis_2
